"Table 1.2a: Annual hours when PM10 pollution was moderate or higher, for roadside sites, 1997 to 2018",,,,,,,,,
,,,,,,,,,
Year,Site,4 Moderate,5 Moderate,6 Moderate,7 High,8 High,9 High,10 Very High,Total Hours
1997,All sites (mean),578,304,174,127,69,69,50,"1,370"
1998,All sites (mean),459,255,124,58,33,13,30,972
1999,All sites (mean),431,224,106,30,14,8,35,849
2000,All sites (mean),460,258,85,33,22,7,9,873
2001,All sites (mean),403,182,92,44,28,22,47,819
2002,All sites (mean),417,193,78,21,17,7,10,744
2003,All sites (mean),625,402,238,131,62,27,12,"1,497"
2004,All sites (mean),455,195,91,26,9,2,0,777
2005,All sites (mean),454,225,94,38,14,1,3,827
2006,All sites (mean),575,333,171,55,30,18,11,"1,192"
2007,All sites (mean),431,242,110,56,38,25,16,918
2008,All sites (mean),159,72,35,18,15,9,2,309
2009,All sites (mean),107,57,25,8,3,1,0,201
2010,All sites (mean),120,60,30,14,8,5,8,245
2011,All sites (mean),224,115,83,37,19,11,6,495
2012,All sites (mean),122,71,39,19,6,2,1,260
2013,All sites (mean),106,63,36,11,3,2,0,221
2014,All sites (mean),97,45,31,14,7,3,3,200
2015,All sites (mean),69,38,14,1,0,1,1,126
2016,All sites (mean),59,28,21,12,5,2,0,126
2017,All sites (mean),63,30,13,3,2,2,3,116
2018,All sites (mean),42,15,5,2,1,0,0,65
2009,Armagh Roadside,135,126,28,1,0,0,0,290
2010,Armagh Roadside,237,158,135,104,78,40,104,856
2011,Armagh Roadside,208,38,42,47,24,8,16,383
2012,Armagh Roadside,32,28,12,3,0,0,0,75
2013,Armagh Roadside,78,109,34,13,0,0,0,234
2017,Armagh Roadside,11,6,5,5,4,9,6,46
2018,Armagh Roadside,24,25,0,20,2,2,0,73
2014,Barnstaple A39,29,4,12,2,0,0,0,47
2015,Barnstaple A39,25,39,22,5,0,0,0,91
2016,Barnstaple A39,31,0,0,0,0,0,0,31
2015,Belfast Stockman's Lane,88,8,0,0,0,0,0,96
2016,Belfast Stockman's Lane,37,20,11,17,7,0,0,92
2017,Belfast Stockman's Lane,11,8,12,9,8,0,0,48
2018,Belfast Stockman's Lane,0,0,0,0,0,0,0,0
2017,Birmingham A4540 Roadside,74,26,0,0,0,0,0,100
2018,Birmingham A4540 Roadside,59,5,0,0,0,0,0,64
2009,Birmingham Tyburn Roadside,70,34,39,5,12,4,0,164
2010,Birmingham Tyburn Roadside,35,7,0,0,0,0,0,42
2011,Birmingham Tyburn Roadside,191,80,113,22,3,2,16,427
2012,Birmingham Tyburn Roadside,129,86,46,25,8,1,0,295
2013,Birmingham Tyburn Roadside,59,93,47,18,0,0,0,217
2014,Birmingham Tyburn Roadside,102,38,41,14,0,2,23,220
2015,Birmingham Tyburn Roadside,67,72,22,0,0,0,0,161
2018,Bristol Temple Way,77,0,0,0,0,0,0,77
1997,Bury Roadside,678,456,156,150,63,56,12,"1,571"
1998,Bury Roadside,480,255,158,33,50,7,13,996
1999,Bury Roadside,393,149,68,22,11,10,0,653
2000,Bury Roadside,141,63,45,14,10,6,0,279
2001,Bury Roadside,371,161,105,55,19,20,27,758
2002,Bury Roadside,284,143,82,11,11,0,0,531
2003,Bury Roadside,502,364,277,84,47,22,0,"1,296"
2004,Bury Roadside,317,141,100,36,12,2,0,608
2005,Bury Roadside,230,66,4,0,0,0,0,300
2006,Bury Roadside,388,203,107,22,3,0,0,723
2007,Bury Roadside,169,104,70,36,16,5,19,419
2008,Bury Roadside,96,71,15,28,26,12,0,248
2009,Bury Roadside,97,53,42,10,0,0,0,202
2010,Bury Roadside,74,3,0,0,0,0,0,77
2011,Bury Roadside,186,52,39,41,31,0,0,349
2015,Bury Whitefield Roadside,72,44,0,0,0,0,0,116
2016,Bury Whitefield Roadside,32,5,0,0,0,0,0,37
2017,Bury Whitefield Roadside,21,4,3,3,7,5,0,43
2018,Bury Whitefield Roadside,31,0,0,0,0,0,0,31
1997,Camden Kerbside,943,393,246,164,93,106,108,"2,053"
1998,Camden Kerbside,289,191,31,0,0,0,0,511
1999,Camden Kerbside,380,255,101,45,3,0,0,784
2000,Camden Kerbside,515,147,56,25,5,0,0,748
2001,Camden Kerbside,361,101,104,34,23,5,21,649
2002,Camden Kerbside,347,100,10,0,0,0,0,457
2003,Camden Kerbside,570,392,100,102,25,11,0,"1,200"
2004,Camden Kerbside,537,176,112,45,1,0,0,871
2005,Camden Kerbside,714,332,149,24,7,0,0,"1,226"
2006,Camden Kerbside,598,292,188,63,30,36,19,"1,226"
2007,Camden Kerbside,474,210,122,69,65,43,11,994
2008,Camden Kerbside,138,54,49,32,14,9,0,296
2010,Camden Kerbside,177,84,15,6,0,0,0,282
2011,Camden Kerbside,306,208,102,41,31,2,0,690
2012,Camden Kerbside,214,139,57,39,9,0,0,458
