"Table 1.1a: Annual Mean Concentrations of PM10 in the UK at roadside monitoring sites, 1997 to 2018",,,
,,,
Year,Site,Annual Mean PM10 concentration (µg/m3),95% confidence interval for 'All sites' (+/-)
1997,All sites,37,8
1998,All sites,33,4
1999,All sites,32,6
2000,All sites,31,8
2001,All sites,31,6
2002,All sites,29,5
2003,All sites,31,6
2004,All sites,27,6
2005,All sites,28,6
2006,All sites,30,6
2007,All sites,27,7
2008,All sites,22,4
2009,All sites,20,3
2010,All sites,22,3
2011,All sites,23,3
2012,All sites,20,2
2013,All sites,20,2
2014,All sites,19,2
2015,All sites,17,1
2016,All sites,19,2
2017,All sites,17,2
2018,All sites,19,1
2009,Armagh Roadside,23,
2010,Armagh Roadside,29,
2011,Armagh Roadside,19,
2012,Armagh Roadside,16,
2013,Armagh Roadside,19,
2017,Armagh Roadside,14,
2018,Armagh Roadside,19,
2014,Barnstaple A39,16,
2015,Barnstaple A39,18,
2016,Barnstaple A39,17,
2015,Belfast Stockman's Lane,21,
2016,Belfast Stockman's Lane,22,
2017,Belfast Stockman's Lane,21,
2018,Belfast Stockman's Lane,15,
2017,Birmingham A4540 Roadside,15,
2018,Birmingham A4540 Roadside,18,
2009,Birmingham Tyburn Roadside,19,
2010,Birmingham Tyburn Roadside,20,
2011,Birmingham Tyburn Roadside,24,
2012,Birmingham Tyburn Roadside,22,
2013,Birmingham Tyburn Roadside,19,
2014,Birmingham Tyburn Roadside,20,
2015,Birmingham Tyburn Roadside,17,
2003,Brighton Roadside PM10,34,
2004,Brighton Roadside PM10,31,
2005,Brighton Roadside PM10,34,
2006,Brighton Roadside PM10,34,
2007,Brighton Roadside PM10,31,
2018,Bristol Temple Way,23,
1997,Bury Roadside,39,
1998,Bury Roadside,34,
1999,Bury Roadside,31,
2000,Bury Roadside,29,
2001,Bury Roadside,32,
2002,Bury Roadside,31,
2003,Bury Roadside,35,
2004,Bury Roadside,30,
2005,Bury Roadside,28,
2006,Bury Roadside,31,
2007,Bury Roadside,28,
2008,Bury Roadside,21,
2009,Bury Roadside,22,
2010,Bury Roadside,23,
2011,Bury Roadside,23,
2015,Bury Whitefield Roadside,17,
2016,Bury Whitefield Roadside,15,
2017,Bury Whitefield Roadside,15,
2018,Bury Whitefield Roadside,16,
1997,Camden Kerbside,42,
1998,Camden Kerbside,33,
1999,Camden Kerbside,34,
2000,Camden Kerbside,34,
2001,Camden Kerbside,33,
2002,Camden Kerbside,31,
2003,Camden Kerbside,35,
2004,Camden Kerbside,35,
2005,Camden Kerbside,37,
2006,Camden Kerbside,37,
2007,Camden Kerbside,35,
2008,Camden Kerbside,26,
2010,Camden Kerbside,26,
2011,Camden Kerbside,27,
2012,Camden Kerbside,23,
2013,Camden Kerbside,20,
2014,Camden Kerbside,22,
2015,Camden Kerbside,20,
2016,Camden Kerbside,21,
2017,Camden Kerbside,20,
2018,Camden Kerbside,21,
2008,Carlisle Roadside,22,
2009,Carlisle Roadside,18,
2010,Carlisle Roadside,22,
2011,Carlisle Roadside,22,
2012,Carlisle Roadside,19,
2015,Carlisle Roadside,17,
2017,Carlisle Roadside,15,
2018,Carlisle Roadside,16,
2011,Chatham Roadside,24,
2012,Chatham Roadside,21,
2013,Chatham Roadside,23,
2014,Chatham Roadside,21,
2015,Chatham Roadside,18,
2016,Chatham Roadside,19,
2017,Chatham Roadside,22,
2018,Chatham Roadside,24,
2008,Chepstow A48,23,
2011,Chepstow A48,22,
2012,Chepstow A48,19,
2013,Chepstow A48,19,
2014,Chepstow A48,18,
2015,Chepstow A48,17,
2016,Chepstow A48,18,
2017,Chepstow A48,15,
2018,Chepstow A48,18,
2008,Chesterfield Roadside,23,
2012,Chesterfield Roadside,20,
