"Table 1.1b: Annual Mean Concentrations of PM10 in the UK at urban background monitoring sites, 1992 to 2018",,,
,,,
Year,Site,Annual Mean PM10 concentration (µg/m3),95% confidence interval for 'All sites' (+/-)
2000,Aberdeen,19,
2001,Aberdeen,15,
2003,Aberdeen,22,
2004,Aberdeen,19,
2005,Aberdeen,19,
2006,Aberdeen,20,
2007,Aberdeen,17,
2008,Aberdeen,16,
2009,Aberdeen,15,
2010,Aberdeen,13,
2011,Aberdeen,14,
2012,Aberdeen,12,
2013,Aberdeen,13,
2014,Aberdeen,15,
2015,Aberdeen,12,
2016,Aberdeen,12,
2017,Aberdeen,11,
2018,Aberdeen,14,
1992,All sites,36,7
1993,All sites,35,4
1994,All sites,32,3
1995,All sites,31,2
1996,All sites,32,2
1997,All sites,30,1
1998,All sites,26,1
1999,All sites,24,1
2000,All sites,23,1
2001,All sites,23,1
2002,All sites,23,1
2003,All sites,25,1
2004,All sites,22,1
2005,All sites,22,1
2006,All sites,24,1
2007,All sites,22,1
2008,All sites,19,1
2009,All sites,19,1
2010,All sites,19,1
2011,All sites,20,1
2012,All sites,17,1
2013,All sites,17,1
2014,All sites,17,1
2015,All sites,15,1
2016,All sites,16,1
2017,All sites,14,1
2018,All sites,15,1
1992,Belfast Centre,35,
1993,Belfast Centre,41,
1994,Belfast Centre,34,
1995,Belfast Centre,32,
1996,Belfast Centre,31,
1997,Belfast Centre,32,
1998,Belfast Centre,27,
1999,Belfast Centre,26,
2000,Belfast Centre,25,
2001,Belfast Centre,25,
2002,Belfast Centre,23,
2003,Belfast Centre,24,
2004,Belfast Centre,21,
2005,Belfast Centre,19,
2006,Belfast Centre,18,
2007,Belfast Centre,19,
2009,Belfast Centre,20,
2012,Belfast Centre,15,
2014,Belfast Centre,16,
2015,Belfast Centre,14,
2016,Belfast Centre,16,
2017,Belfast Centre,12,
2018,Belfast Centre,16,
1992,Birmingham Centre,34,
1993,Birmingham Centre,33,
1994,Birmingham Centre,30,
1995,Birmingham Centre,30,
1996,Birmingham Centre,32,
1997,Birmingham Centre,28,
1998,Birmingham Centre,25,
1999,Birmingham Centre,24,
2000,Birmingham Centre,22,
2001,Birmingham Centre,22,
2002,Birmingham Centre,22,
2003,Birmingham Centre,25,
2004,Birmingham Centre,22,
2005,Birmingham Centre,25,
2006,Birmingham Centre,27,
2007,Birmingham Centre,19,
2008,Birmingham Centre,16,
1994,Birmingham East,27,
1995,Birmingham East,29,
1996,Birmingham East,30,
1997,Birmingham East,26,
1998,Birmingham East,20,
1999,Birmingham East,22,
2000,Birmingham East,21,
2001,Birmingham East,22,
2002,Birmingham East,21,
2005,Birmingham Tyburn,22,
2006,Birmingham Tyburn,24,
2007,Birmingham Tyburn,25,
2008,Birmingham Tyburn,19,
2009,Birmingham Tyburn,20,
